episode,controller_type,state_dim,reward,loss,epsilon,runtime_seconds,local_reward_contribution,neighbor_coordination_contribution,global_optimization_contribution,avg_neighbor_congestion,avg_global_congestion,avg_neighbor_waiting_time,action_0_pct,action_1_pct,action_2_pct
46,multi_level_coordinated_dqn,29,1033.5214,1.639370,0.5264,95.7890,-0.0256,0.3041,1.6213,0.0346,0.1897,0.0177,21.14,42.10,36.76
47,multi_level_coordinated_dqn,29,1033.7609,0.817354,0.5238,96.9279,-0.0257,0.3033,1.6227,0.0351,0.1939,0.0178,26.29,49.08,24.63
48,multi_level_coordinated_dqn,29,1033.7152,1.404575,0.5212,98.0662,-0.0257,0.3033,1.6226,0.0351,0.1940,0.0178,20.40,51.84,27.76
49,multi_level_coordinated_dqn,29,1083.2640,1.978375,0.5186,102.5656,-0.0334,0.2982,1.6159,0.0380,0.2090,0.0203,17.71,37.67,44.62
50,multi_level_coordinated_dqn,29,1033.5214,2.340458,0.5160,96.8681,-0.0256,0.3041,1.6213,0.0346,0.1897,0.0177,23.35,37.68,38.97
51,multi_level_coordinated_dqn,29,1015.8040,2.937007,0.5134,96.8949,-0.0479,0.2999,1.6153,0.0375,0.2055,0.0189,42.83,33.27,23.90
52,multi_level_coordinated_dqn,29,999.0822,1.068205,0.5108,95.6398,-0.0776,0.2978,1.6163,0.0386,0.2104,0.0185,32.72,43.93,23.35
53,multi_level_coordinated_dqn,29,1027.8534,3.187479,0.5083,97.1221,-0.0356,0.3027,1.6223,0.0355,0.1947,0.0179,40.26,30.88,28.86
54,multi_level_coordinated_dqn,29,1033.1714,2.053642,0.5058,95.7271,-0.0262,0.3041,1.6213,0.0346,0.1897,0.0177,22.43,58.09,19.49
55,multi_level_coordinated_dqn,29,1041.8548,2.033936,0.5032,103.2775,-0.0161,0.3058,1.6254,0.0336,0.1865,0.0166,29.04,52.02,18.93
56,multi_level_coordinated_dqn,29,1032.8214,2.088504,0.5007,96.4775,-0.0268,0.3041,1.6213,0.0346,0.1897,0.0177,21.88,58.27,19.85
57,multi_level_coordinated_dqn,29,1021.5112,1.897575,0.4982,97.0942,-0.0437,0.3012,1.6203,0.0364,0.1998,0.0181,26.29,28.86,44.85
58,multi_level_coordinated_dqn,29,1032.5473,4.722683,0.4957,96.4002,-0.0264,0.3028,1.6217,0.0354,0.1967,0.0180,19.30,49.26,31.43
59,multi_level_coordinated_dqn,29,1034.0241,1.275464,0.4932,98.0914,-0.0257,0.3035,1.6230,0.0350,0.1931,0.0178,25.74,21.51,52.76
60,multi_level_coordinated_dqn,29,1033.1608,1.114573,0.4908,96.6584,-0.0257,0.3028,1.6221,0.0353,0.1954,0.0179,14.52,52.21,33.27
61,multi_level_coordinated_dqn,29,1032.9660,1.576431,0.4883,97.3719,-0.0256,0.3038,1.6207,0.0348,0.1913,0.0177,21.88,25.92,52.21
62,multi_level_coordinated_dqn,29,1032.6160,2.675057,0.4859,98.1834,-0.0263,0.3038,1.6207,0.0348,0.1913,0.0177,22.43,49.45,28.12
63,multi_level_coordinated_dqn,29,1034.5679,1.743703,0.4834,96.1193,-0.0256,0.3038,1.6235,0.0348,0.1914,0.0177,22.98,53.86,23.16
64,multi_level_coordinated_dqn,29,1034.2778,2.049282,0.4810,98.2166,-0.0256,0.3036,1.6233,0.0349,0.1921,0.0178,27.02,40.81,32.17
65,multi_level_coordinated_dqn,29,964.6480,1.559712,0.4786,97.3513,-0.1096,0.2851,1.5977,0.0464,0.2527,0.0241,57.90,18.75,23.35
66,multi_level_coordinated_dqn,29,1216.3647,2.415488,0.4762,118.2414,-0.0622,0.2989,1.6175,0.0370,0.2017,0.0225,21.95,43.45,34.60
67,multi_level_coordinated_dqn,29,1032.9660,1.194987,0.4738,96.4219,-0.0256,0.3038,1.6207,0.0348,0.1913,0.0177,26.47,52.39,21.14
68,multi_level_coordinated_dqn,29,1032.9660,1.893757,0.4715,96.4045,-0.0256,0.3038,1.6207,0.0348,0.1913,0.0177,20.04,47.61,32.35
69,multi_level_coordinated_dqn,29,1026.6364,1.426752,0.4691,98.4643,-0.0272,0.3016,1.6128,0.0362,0.2022,0.0184,16.91,53.12,29.96
70,multi_level_coordinated_dqn,29,1029.6369,1.632922,0.4668,96.9379,-0.0308,0.3034,1.6201,0.0350,0.1930,0.0178,23.35,60.48,16.18
71,multi_level_coordinated_dqn,29,1032.9660,1.483111,0.4644,96.4265,-0.0256,0.3038,1.6207,0.0348,0.1913,0.0177,16.91,67.10,15.99
72,multi_level_coordinated_dqn,29,1082.5880,3.064176,0.4621,114.2946,-0.1621,0.2712,1.5824,0.0553,0.2954,0.0351,22.97,45.94,31.09
73,multi_level_coordinated_dqn,29,1031.7369,2.361520,0.4598,96.6140,-0.0269,0.3034,1.6201,0.0350,0.1930,0.0178,25.00,53.86,21.14
74,multi_level_coordinated_dqn,29,982.0294,1.249179,0.4575,94.8394,-0.1008,0.2955,1.6105,0.0400,0.2181,0.0190,29.60,46.69,23.71
75,multi_level_coordinated_dqn,29,1031.1250,1.308279,0.4552,96.6998,-0.0290,0.3027,1.6218,0.0354,0.1963,0.0179,27.57,44.85,27.57
76,multi_level_coordinated_dqn,29,1024.9925,1.203685,0.4529,96.5063,-0.0388,0.3030,1.6199,0.0353,0.1933,0.0178,27.39,58.27,14.34
77,multi_level_coordinated_dqn,29,974.1774,1.049120,0.4507,97.7826,-0.1128,0.2946,1.6089,0.0409,0.2224,0.0191,45.96,32.72,21.32
78,multi_level_coordinated_dqn,29,1020.1053,1.914481,0.4484,97.4776,-0.0469,0.3014,1.6207,0.0363,0.1990,0.0181,33.09,41.18,25.74
79,multi_level_coordinated_dqn,29,1080.9248,1.229416,0.4462,103.3500,-0.0352,0.2984,1.6134,0.0379,0.2082,0.0203,27.43,39.41,33.16
80,multi_level_coordinated_dqn,29,1081.6116,1.744961,0.4440,106.2087,-0.0381,0.2989,1.6170,0.0376,0.2057,0.0202,24.13,38.89,36.98
1,multi_level_coordinated_dqn,29,910.6251,0.220503,0.9950,361.9858,-0.7571,0.0378,1.4133,0.2147,0.6026,0.4140,32.70,35.44,31.86
2,multi_level_coordinated_dqn,29,926.7136,0.016950,0.9900,385.6287,-0.7193,0.0485,1.4230,0.2060,0.5871,0.3817,32.31,34.74,32.95
